rain_bucket_mm,predicted_speed_drop_pct,predicted_aqi_drop_pct,predicted_congestion_bump_pct,confidence_score,sample_size,trained_at
15.0,68.69949228949233,91.77983317584302,65.45266369940808,0.1,1000,2026-06-20T20:01:25.997419+00:00
20.0,68.69949228949233,91.77983317584302,65.45266369940808,0.1,1000,2026-06-20T20:01:25.997425+00:00
25.0,68.69949228949233,91.77983317584302,65.45266369940808,0.1,1000,2026-06-20T20:01:25.997442+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-21T20:01:21.208148+00:00
1.0,7.990138228911448,0.8618380085795521,4.799537374760458,0.1,1000,2026-06-21T20:01:21.208174+00:00
2.5,17.385454718272282,2.1545950214488805,10.500806116127844,0.1,1000,2026-06-21T20:01:21.208182+00:00
5.0,26.137939923190117,4.309190042897742,16.008154496344698,0.1,1000,2026-06-21T20:01:21.208188+00:00
10.0,26.137939923190117,8.618380085795502,16.008154496344698,0.1,1000,2026-06-21T20:01:21.208193+00:00
15.0,26.137939923190117,12.927570128693247,16.008154496344698,0.1,1000,2026-06-21T20:01:21.208199+00:00
20.0,26.137939923190117,17.236760171591005,16.008154496344698,0.1,1000,2026-06-21T20:01:21.208205+00:00
25.0,26.137939923190117,21.545950214488748,16.008154496344698,0.1,1000,2026-06-21T20:01:21.208221+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-22T20:01:41.664238+00:00
1.0,0.0,13.688297276943345,0.0,0.1,1000,2026-06-22T20:01:41.664266+00:00
2.5,67.69768031012741,34.22074319235838,64.54394584416806,0.1,1000,2026-06-22T20:01:41.664275+00:00
5.0,67.69768031012741,68.44148638471674,64.54394584416806,0.1,1000,2026-06-22T20:01:41.664282+00:00
10.0,67.69768031012741,87.03863235006322,64.54394584416806,0.1,1000,2026-06-22T20:01:41.664288+00:00
15.0,67.69768031012741,87.03863235006322,64.54394584416806,0.1,1000,2026-06-22T20:01:41.664293+00:00
20.0,67.69768031012741,87.03863235006322,64.54394584416806,0.1,1000,2026-06-22T20:01:41.664303+00:00
25.0,67.69768031012741,87.03863235006322,64.54394584416806,0.1,1000,2026-06-22T20:01:41.664320+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-23T20:01:32.202408+00:00
1.0,17.29042376263831,8.942190352703772,7.241762978449316,0.1,1000,2026-06-23T20:01:32.202429+00:00
2.5,17.29042376263831,22.35547588175941,8.164801187535616,0.1,1000,2026-06-23T20:01:32.202435+00:00
5.0,17.29042376263831,44.71095176351882,8.164801187535616,0.1,1000,2026-06-23T20:01:32.202440+00:00
10.0,17.29042376263831,89.42190352703764,8.164801187535616,0.1,1000,2026-06-23T20:01:32.202445+00:00
15.0,17.29042376263831,89.54815588424513,8.164801187535616,0.1,1000,2026-06-23T20:01:32.202450+00:00
20.0,17.29042376263831,89.54815588424513,8.164801187535616,0.1,1000,2026-06-23T20:01:32.202454+00:00
25.0,17.29042376263831,89.54815588424513,8.164801187535616,0.1,1000,2026-06-23T20:01:32.202467+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-24T20:01:21.451239+00:00
1.0,20.619625971172837,8.603271628095603,11.66280797651386,0.1,1000,2026-06-24T20:01:21.451263+00:00
2.5,33.46685679016602,21.50817907023899,23.47831633211073,0.1,1000,2026-06-24T20:01:21.451272+00:00
5.0,33.46685679016602,43.01635814047799,28.027620633641668,0.1,1000,2026-06-24T20:01:21.451278+00:00
10.0,33.46685679016602,86.03271628095598,28.027620633641668,0.1,1000,2026-06-24T20:01:21.451284+00:00
15.0,33.46685679016602,88.72668848439076,28.027620633641668,0.1,1000,2026-06-24T20:01:21.451291+00:00
20.0,33.46685679016602,88.72668848439076,28.027620633641668,0.1,1000,2026-06-24T20:01:21.451297+00:00
25.0,33.46685679016602,88.72668848439076,28.027620633641668,0.1,1000,2026-06-24T20:01:21.451313+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-25T20:01:18.007439+00:00
1.0,16.046345578661214,0.0,9.135484441171457,0.1,1000,2026-06-25T20:01:18.007462+00:00
2.5,18.21501159896161,0.0,10.234803070857822,0.1,1000,2026-06-25T20:01:18.007469+00:00
5.0,18.21501159896161,0.0,10.234803070857822,0.1,1000,2026-06-25T20:01:18.007479+00:00
10.0,18.21501159896161,0.0,10.234803070857822,0.1,1000,2026-06-25T20:01:18.007485+00:00
15.0,18.21501159896161,0.0,10.234803070857822,0.1,1000,2026-06-25T20:01:18.007491+00:00
20.0,18.21501159896161,0.0,10.234803070857822,0.1,1000,2026-06-25T20:01:18.007497+00:00
25.0,18.21501159896161,0.0,10.234803070857822,0.1,1000,2026-06-25T20:01:18.007514+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-26T20:01:32.028479+00:00
